essay01.txt	3	competition can effectively promote the development of economy	It is always said that competition can effectively promote the development of economy.	1	17
essay01.txt	2	In order to survive in the competition, companies continue to improve their products and service, and as a result, the whole society prospers	In order to survive in the competition, companies continue to improve their products and service, and as a result, the whole society prospers.	2	17
essay01.txt	1	we should attach more importance to cooperation	From this point of view, I firmly believe that we should attach more importance to cooperation during primary education.	4	17
essay01.txt	2	During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred	During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred.	7	17
essay01.txt	2	All of these skills help them to get on well with other people and will benefit them for the whole life	All of these skills help them to get on well with other people and will benefit them for the whole life.	8	17
essay01.txt	3	through cooperation, children can learn about interpersonal skills which are significant in the future life of all students	First of all, through cooperation, children can learn about interpersonal skills which are significant in the future life of all students.	5	17
essay01.txt	2	What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others	What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others.	6	17
essay01.txt	2	when we consider about the question that how to win the game, we always find that we need the cooperation	However, when we consider about the question that how to win the game, we always find that we need the cooperation.	11	17
essay01.txt	2	Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care	Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care.	13	17
essay01.txt	2	The winner is the athlete but the success belongs to the whole team	The winner is the athlete but the success belongs to the whole team.	14	17
essay01.txt	3	without the cooperation, there would be no victory of competition	Therefore without the cooperation, there would be no victory of competition.	15	17
essay01.txt	3	competition makes the society more effective	Hence it is always said that competition makes the society more effective.	10	17
essay01.txt	3	a more cooperative attitudes towards life is more profitable in one's success	Consequently, no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that a more cooperative attitudes towards life is more profitable in one's success.	16	17
essay01.txt	2	the significance of competition is that how to become more excellence to gain the victory	On the other hand, the significance of competition is that how to become more excellence to gain the victory.	9	17
essay01.txt	0	Should students be taught to compete or to cooperate?	Should students be taught to compete or to cooperate?	0	17
essay01.txt	0	However, when we discuss the issue of competition or cooperation, what we are concerned about is not the whole society, but the development of an individual's whole life.	However, when we discuss the issue of competition or cooperation, what we are concerned about is not the whole society, but the development of an individual's whole life.	3	17
essay01.txt	0	The greater our goal is, the more competition we need.	The greater our goal is, the more competition we need.	12	17
essay02.txt	1	they are able to sustain their cultural identities	However I strongly believe that they are able to sustain their cultural identities and doing so help they keep their origin values.	4	17
essay02.txt	3	sustaining the cultural values of immigrants is paramount essential	Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential.	9	17
essay02.txt	3	they should follow the local customs in order to integrate into their adopted countries’ cultures	Some people thought that they should follow the local customs in order to integrate into their adopted countries’ cultures.	3	17
essay02.txt	2	Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values	Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values.	7	17
